Gmt time,Open,High,Low,Close,Volume
15.05.2018 20:00:00.000,4.45234,4.45423,4.43226,4.45182,2357.47
15.05.2018 21:00:00.000,4.45182,4.45354,4.44603,4.44961,176
15.05.2018 22:00:00.000,4.45163,4.46469,4.44780,4.46283,563.95
15.05.2018 23:00:00.000,4.46288,4.46632,4.45386,4.45740,3592.74
16.05.2018 00:00:00.000,4.45739,4.45901,4.45135,4.45586,1075.08
16.05.2018 01:00:00.000,4.45586,4.45692,4.45485,4.45566,448.84
16.05.2018 02:00:00.000,4.45533,4.45606,4.45150,4.45169,325.45
16.05.2018 03:00:00.000,4.45169,4.45230,4.44865,4.45029,611.98
16.05.2018 04:00:00.000,4.45023,4.45134,4.44853,4.44947,757.87
16.05.2018 05:00:00.000,4.44943,4.46004,4.44654,4.45035,2792.71
16.05.2018 06:00:00.000,4.45035,4.47465,4.45034,4.46869,9652.1396
16.05.2018 07:00:00.000,4.46874,4.47158,4.44332,4.46749,10966.2598
16.05.2018 08:00:00.000,4.46749,4.49861,4.45712,4.49417,10199.6699
16.05.2018 09:00:00.000,4.49420,4.50143,4.48379,4.49380,9616.4004
16.05.2018 10:00:00.000,4.49376,4.49405,4.40730,4.42978,15092.2402
16.05.2018 11:00:00.000,4.42977,4.45700,4.42266,4.42788,10398.7402
16.05.2018 12:00:00.000,4.42781,4.43906,4.42368,4.42717,10671.5801
16.05.2018 13:00:00.000,4.42727,4.42727,4.39451,4.42059,13562.1104
16.05.2018 14:00:00.000,4.42056,4.43842,4.40678,4.42985,12331.0596
16.05.2018 15:00:00.000,4.42985,4.43428,4.41063,4.42144,9650.8701
16.05.2018 16:00:00.000,4.42141,4.42835,4.41629,4.41858,3690.1599
16.05.2018 17:00:00.000,4.41859,4.43290,4.40978,4.41259,5293.8301
16.05.2018 18:00:00.000,4.41259,4.41911,4.40739,4.41527,3007.78
16.05.2018 19:00:00.000,4.41529,4.41950,4.40912,4.41512,2664.6899
16.05.2018 20:00:00.000,4.41519,4.41898,4.41504,4.41599,2229.1299
16.05.2018 21:00:00.000,4.41644,4.42069,4.41503,4.42060,412.52
16.05.2018 22:00:00.000,4.42051,4.43150,4.41923,4.43054,973.39
16.05.2018 23:00:00.000,4.43054,4.43201,4.42878,4.43193,4295.8101
17.05.2018 00:00:00.000,4.43190,4.43391,4.42253,4.42438,9227.2998
17.05.2018 01:00:00.000,4.42439,4.42463,4.42075,4.42126,2809.22
17.05.2018 02:00:00.000,4.42125,4.42170,4.41672,4.41934,2469.52
17.05.2018 03:00:00.000,4.41934,4.42104,4.41863,4.42028,2597.3999
17.05.2018 04:00:00.000,4.42048,4.43405,4.41947,4.43380,1857
17.05.2018 05:00:00.000,4.43379,4.44790,4.42383,4.44538,3681.01
17.05.2018 06:00:00.000,4.44531,4.46839,4.43804,4.44916,8194.8096
17.05.2018 07:00:00.000,4.44920,4.46240,4.43483,4.44921,8776.1201
17.05.2018 08:00:00.000,4.44921,4.45123,4.44390,4.44571,7665.1001
17.05.2018 09:00:00.000,4.44529,4.44598,4.42767,4.44187,9155.2998
17.05.2018 10:00:00.000,4.44187,4.44908,4.43666,4.44215,9842.1699
17.05.2018 11:00:00.000,4.44209,4.44487,4.42952,4.44464,8189.7402
17.05.2018 12:00:00.000,4.44464,4.45340,4.43928,4.44539,9816.1602
17.05.2018 13:00:00.000,4.44565,4.46162,4.44537,4.45174,10386.0703
17.05.2018 14:00:00.000,4.45174,4.46180,4.44954,4.45497,10844.1104
17.05.2018 15:00:00.000,4.45489,4.46700,4.45031,4.46302,10303.6201
17.05.2018 16:00:00.000,4.46291,4.46738,4.45409,4.45726,4378.8999
17.05.2018 17:00:00.000,4.45724,4.46565,4.45569,4.46043,2641.99
17.05.2018 18:00:00.000,4.46032,4.46907,4.45333,4.45535,5835.04
17.05.2018 19:00:00.000,4.45530,4.46572,4.45411,4.45988,4202.6602
17.05.2018 20:00:00.000,4.46014,4.46810,4.45982,4.46360,3636.8
17.05.2018 21:00:00.000,4.46422,4.46744,4.45953,4.46584,337.25
17.05.2018 22:00:00.000,4.46694,4.46821,4.46108,4.46724,878.93
17.05.2018 23:00:00.000,4.46720,4.46785,4.46523,4.46688,750.23
18.05.2018 00:00:00.000,4.46688,4.46794,4.45955,4.46471,2844.1299
18.05.2018 01:00:00.000,4.46470,4.46962,4.46108,4.46841,3055.71
18.05.2018 02:00:00.000,4.46801,4.46960,4.46090,4.46671,4501.75
18.05.2018 03:00:00.000,4.46671,4.46811,4.46613,4.46721,1552.98
18.05.2018 04:00:00.000,4.46720,4.46846,4.46670,4.46691,669.45
18.05.2018 05:00:00.000,4.46690,4.47890,4.45835,4.46487,2145.4199
18.05.2018 06:00:00.000,4.46487,4.47655,4.44996,4.45398,8690.2998
18.05.2018 07:00:00.000,4.45386,4.45858,4.44388,4.45413,9854.2197
18.05.2018 08:00:00.000,4.45411,4.48525,4.45098,4.48524,8876.1797
18.05.2018 09:00:00.000,4.48524,4.48756,4.47374,4.48756,9135.1396
18.05.2018 10:00:00.000,4.48762,4.48896,4.46752,4.48378,9145.0898
18.05.2018 11:00:00.000,4.48379,4.48504,4.47485,4.47485,6814.0098
